[2020.05.24 17:04:39] | INFO  | [Node2D.gd] [_ready()] >> 50 animal dead

[2020.05.24 17:04:39] | INFO  | [Node2D.gd] [_ready()] >> 51 animal dead

[2020.05.24 17:04:39] | INFO  | [Node2D.gd] [_ready()] >> 52 animal dead

[2020.05.24 17:04:39] | INFO  | [Node2D.gd] [_ready()] >> 53 animal dead

[2020.05.24 17:04:40] | INFO  | [Node2D.gd] [_ready()] >> 54 animal dead

[2020.05.24 17:04:40] | INFO  | [Node2D.gd] [_ready()] >> 55 animal dead

[2020.05.24 17:04:40] | INFO  | [Node2D.gd] [_ready()] >> 56 animal dead

[2020.05.24 17:04:40] | INFO  | [Node2D.gd] [_ready()] >> 99 animal born

[2020.05.24 17:04:40] | INFO  | [Node2D.gd] [_ready()] >> 100 animal born

[2020.05.24 17:04:41] | INFO  | [Node2D.gd] [_ready()] >> 101 animal born

[2020.05.24 17:04:42] | INFO  | [Node2D.gd] [_ready()] >> 102 animal born

[2020.05.24 17:04:42] | INFO  | [Node2D.gd] [_ready()] >> 103 animal born

[2020.05.24 17:04:43] | INFO  | [Node2D.gd] [_ready()] >> 104 animal born

[2020.05.24 17:04:43] | INFO  | [Node2D.gd] [_ready()] >> 105 animal born

[2020.05.24 17:04:44] | INFO  | [Node2D.gd] [_ready()] >> 106 animal born

[2020.05.24 17:04:44] | INFO  | [Node2D.gd] [_ready()] >> 107 animal born

[2020.05.24 17:04:45] | INFO  | [Node2D.gd] [_ready()] >> 108 animal born

[2020.05.24 17:04:45] | INFO  | [Node2D.gd] [_ready()] >> 109 animal born

[2020.05.24 17:04:46] | INFO  | [Node2D.gd] [_ready()] >> 110 animal born

[2020.05.24 17:04:46] | INFO  | [Node2D.gd] [_ready()] >> 57 animal dead

[2020.05.24 17:04:47] | INFO  | [Node2D.gd] [_ready()] >> 111 animal born

[2020.05.24 17:04:47] | INFO  | [Node2D.gd] [_ready()] >> 112 animal born

[2020.05.24 17:04:47] | INFO  | [Node2D.gd] [_ready()] >> 58 animal dead

[2020.05.24 17:04:48] | INFO  | [Node2D.gd] [_ready()] >> 113 animal born

[2020.05.24 17:04:48] | INFO  | [Node2D.gd] [_ready()] >> 59 animal dead

[2020.05.24 17:04:48] | INFO  | [Node2D.gd] [_ready()] >> 60 animal dead

[2020.05.24 17:04:48] | INFO  | [Node2D.gd] [_ready()] >> 61 animal dead

[2020.05.24 17:04:49] | INFO  | [Node2D.gd] [_ready()] >> 114 animal born

